Symbol,Company Name,Industry,Market Cap
AMRK,A-Mark Precious Metals,Diversified Financial Services,782525253
AMRN,Amarin,Biotechnology,542312092
AMRS,Amyris,Chemicals,688983594
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,946637462
AMS,American Shared Hospital Services,Health Care Providers & Services,15197500
AMSC,American Superconductor,Electrical Equipment,148258572
AMSF,AMERISAFE,Insurance,906733680
AMST,Amesite,Software-Application,14019909
AMSWA,American Software,Software,686550685
AMT,American Tower,Equity Real Estate Investment Trusts ...,1.26719E+11
AMTB,Amerant Bancorp,Banks,946589215
AMTD,AMTD International,Asset Management,2525892606
AMTI,Applied Molecular Transport,Biotechnology,80524239
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",387986466
AMWD,American Woodmark,Building Products,844946112
AMWL,American Well,Health Information Services,1385621823
AMX,America Movil,Wireless Telecommunication Services,58865896525
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,505714767
AMZN,Amazon.com,Internet & Direct Marketing Retail,1.41506E+12
AN,AutoNation,Specialty Retail,6931889104
ANAB,AnaptysBio,Biotechnology,674634327
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,391358880
ANDE,The Andersons,Food & Staples Retailing,1278435662
ANEB,Anebulo Pharmaceuticals,Biotechnology,96880094
ANET,Arista Networks,Communications Equipment,38016081762
ANF,Abercrombie & Fitch Company,Specialty Retail,984975722
ANGH,Anghami,Entertainment,86078863
ANGI,Angi Inc.,Interactive Media & Services,2991440625
ANGN,Angion Biomedica,Biotechnology,31756329
ANGO,AngioDynamics,Health Care Equipment & Supplies,919694360
ANIK,Anika Therapeutics,Biotechnology,333023741
ANIP,ANI Pharmaceuticals,Pharmaceuticals,590850080
ANIX,Anixa Biosciences,Biotechnology,117313342
ANNX,Annexon,Biotechnology,246659686
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,10545315
ANSS,ANSYS,Software,24505486459
ANTE,AirNet Technology,Media,46403112
ANTX,AN2 Therapeutics,Biotechnology,209549149
ANVS,Annovis Bio,Biotechnology,94701472
ANY,Sphere 3D,Software,48187299
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,522218740
AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116947750
AOMR,Angel Oak Mortgage,REIT-Mortgage,371416784
AON,Aon plc,Insurance,61267670572
AORT,Artivion,Medical Devices,863713977
AOS,A. O. Smith,Building Products,9492373895
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1041325195
AOUT,American Outdoor Brands,Leisure Products,105201678
AP,Ampco-Pittsburgh,Metals & Mining,86357245
APA,APA Corporation,"Oil, Gas & Consumable Fuels",10916437993
APAC,Stonebridge Acquisition,Blank Check / SPAC,250999999
